year,n_firms,n_emp,payroll,revenue,NAICS2017,state,payroll_per_emp,ai_firms_did_not_use,ai_firms_tested_but_did_not_use_in_production_or_service,ai_firms_low_use,ai_firms_moderate_use,ai_firms_high_use,ai_firms_dont_know,ai_firms_any_use,ai_firms_total,ai_adoption_rate,high_ai
2017,8202,205599,6511125,22869793,71,12,31.669049946740987,5487,0,0,0,0,0,0,5487,0,High AI adoption
2017,1661,251982,24838548,10173381,55,17,98.57270757435055,849,0,40,22,0,171,62,1144,0.05419580419580419,High AI adoption
2017,12304,325287,37330518,207100226,52,17,114.76178882033405,8952,108,246,158,0,756,404,10624,0.03802710843373494,High AI adoption
2017,36985,416517,34788838,89304845,54,17,83.5232127380155,27071,339,829,507,180,1534,1516,31976,0.04741055791843883,High AI adoption
2017,1096,8759,350772,1528835,11,13,40.04703733302888,0,0,0,0,0,0,0,0,NA,NA
2017,171986,3859762,190149731,1160870875,00,13,49.26462590180431,125351,810,2672,1535,673,9563,4880,145484,0.033543207500481155,High AI adoption
2017,10872,224310,14160045,301501345,42,13,63.127123177745084,8453,70,141,86,0,635,227,9612,0.02361631294215564,High AI adoption
2017,17362,123767,4017978,12646477,81,17,32.46404938311505,14527,0,0,0,0,890,0,15417,0,High AI adoption
2017,138,24667,2304617,18448236,22,13,93.42915636275185,63,0,0,0,0,0,0,63,0,High AI adoption
2017,4669,87342,2918579,10071418,71,17,33.415527466739945,3400,0,0,0,0,104,0,3504,0,High AI adoption
2017,22225,545453,10362303,34961216,72,17,18.997609326559758,16514,0,0,0,0,1616,0,18130,0,High AI adoption
2017,1635,10103,60230,130,99,17,5.961595565673562,1228,0,0,0,0,0,0,1228,0,High AI adoption
2017,25785,791361,36521188,93717292,62,17,46.14984564566614,19463,0,347,0,0,949,347,21106,0.016440822514924666,High AI adoption
2017,15029,537069,18288665,41177204,56,17,34.052728792762196,11514,67,19,101,0,770,120,12591,0.009530617107457708,High AI adoption
2017,10578,83804,4882660,33382388,53,17,58.26285141520691,6470,0,0,0,0,0,0,6470,0,High AI adoption
2017,17964,187344,9944397,69232536,23,13,53.080947348193696,14722,0,94,0,0,883,94,15793,0.005952004052428291,High AI adoption
2017,2540,139738,13362966,73075389,51,13,95.62871946070503,1643,31,134,50,33,202,217,2310,0.09393939393939393,High AI adoption
2017,7964,193386,15843296,107568440,52,13,81.92576505021046,5714,94,225,199,0,428,424,7084,0.059853190287972896,High AI adoption
2017,9471,64570,3601434,21375837,53,13,55.77565432863559,6488,0,0,0,0,223,0,6711,0,High AI adoption
2017,2888,33288,2284074,11796195,23,15,68.61553713049747,2204,0,0,0,0,277,0,2481,0,High AI adoption
2017,27808,271492,20575742,54875182,54,13,75.78765488485848,19420,261,615,358,0,1573,973,23200,0.04193965517241379,High AI adoption
2017,1330,18322,965613,16475608,42,15,52.702379652876324,1262,0,14,0,0,124,14,1414,0.009900990099009901,High AI adoption
2017,43,389,10293,35882,11,15,26.460154241645245,0,0,0,0,0,0,0,0,NA,NA
2017,15092,427667,7060224,26703588,72,13,16.508694849029737,11101,0,0,0,0,1300,0,12401,0,High AI adoption
2017,762,19733,1402667,11187340,52,15,71.08229868747783,542,0,0,0,0,0,0,542,0,High AI adoption
2017,3100,51328,1795085,5355762,71,13,34.97282185162095,2119,0,0,0,0,0,0,2119,0,High AI adoption
2017,18568,469989,23181356,61538177,62,13,49.32318841504801,12847,0,256,0,0,1331,256,14690,0.017426820966643976,High AI adoption
2017,1080,138564,14804498,6574844,55,13,106.84231113420513,445,0,41,16,0,91,57,650,0.0876923076923077,High AI adoption
2017,336,7821,497452,2686869,51,15,63.60465413629971,177,0,0,0,0,24,0,201,0,High AI adoption
2017,1608,54765,2016623,3978744,56,15,36.823208253446545,759,0,0,0,0,98,0,857,0,High AI adoption
2017,1625,14078,733786,4462280,53,15,52.122886773689444,1226,0,0,0,0,0,0,1226,0,High AI adoption
2017,11240,83779,2665038,8752679,81,13,31.810334331992504,8729,0,0,0,0,496,0,9225,0,High AI adoption
2017,2846,88412,3571327,4463088,61,13,40.39414332895987,1806,0,0,0,0,0,0,1806,0,High AI adoption
2017,200,7046,540912,162749,55,15,76.7686630712461,151,0,0,0,0,0,0,151,0,High AI adoption
2017,383,6730,88248,1074,99,13,13.11263001485884,180,0,0,0,0,0,0,180,0,High AI adoption
2017,10697,398769,13943471,30495562,56,13,34.96628624592182,7893,0,220,59,0,365,279,8816,0.0316470054446461,High AI adoption
