year,state,naics_sector,tech_type,use_level,used_tech,n_firms,n_emp,revenue,payroll
2018,09,Total,specialized software,"Tested, but did not use in production or service",Tested only,434,10500,0,394168
2018,09,Total,specialized software,Low use,Used,4559,101701,0,5894679
2018,09,Total,specialized software,Moderate use,Used,7863,201806,0,13977084
2018,09,Total,specialized software,High use,Used,9822,219464,0,13558203
2018,09,Total,specialized software,Don't know,Unknown,3902,138524,0,12338400
2018,09,Total,robotics,"Tested, but did not use in production or service",Tested only,101,12175,0,951282
2018,09,Total,robotics,Did not use,Did not use,51658,729380,0,41834503
2018,10,Total,artificial intelligence,Did not use,Did not use,12857,194636,0,10638557
2018,10,Total,artificial intelligence,"Tested, but did not use in production or service",Tested only,152,13636,0,595496
2018,10,Total,artificial intelligence,Low use,Used,652,25735,0,1541998
2018,10,Total,artificial intelligence,Moderate use,Used,254,8732,0,698899
2018,10,Total,artificial intelligence,High use,Used,141,1321,0,260881
2018,10,Total,artificial intelligence,Don't know,Unknown,1049,38926,0,2671268
2018,10,Total,cloud-based,Did not use,Did not use,8368,87683,0,3877759
2018,10,Total,cloud-based,"Tested, but did not use in production or service",Tested only,131,805,0,43656
2018,10,Total,cloud-based,Low use,Used,1464,26148,0,1419786
2018,10,Total,cloud-based,Moderate use,Used,2226,66402,0,5206327
2018,10,Total,cloud-based,High use,Used,2162,77328,0,4201512
2018,10,Total,cloud-based,Don't know,Unknown,806,25324,0,1690333
2018,10,Total,specialized software,Did not use,Did not use,7393,72946,0,3000103
2018,10,Total,specialized software,"Tested, but did not use in production or service",Tested only,86,528,0,29024
2018,10,Total,specialized software,Low use,Used,1125,14218,0,746378
2018,10,Total,specialized software,Moderate use,Used,2365,69505,0,5329219
2018,10,Total,specialized software,High use,Used,3110,89570,0,5149725
2018,10,Total,specialized software,Don't know,Unknown,1046,36609,0,2172457
2018,10,Total,robotics,Did not use,Did not use,13704,189686,0,8890705
2018,10,Total,robotics,"Tested, but did not use in production or service",Tested only,96,7753,0,546171
2018,10,Total,robotics,High use,Used,51,11310,0,573650
2018,10,Total,robotics,Low use,Used,415,36553,0,3659928
2018,10,Total,robotics,Moderate use,Used,154,5039,0,452121
2018,10,Total,robotics,Don't know,Unknown,747,33390,0,2318991
2018,10,Total,specialized equipment,Did not use,Did not use,11113,134964,0,5825618
2018,10,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,133,751,0,85320
2018,10,Total,specialized equipment,Low use,Used,662,12158,0,577075
2018,10,Total,specialized equipment,Moderate use,Used,1408,40095,0,4154045
2018,10,Total,specialized equipment,High use,Used,1044,58038,0,3054564
2018,10,Total,specialized equipment,Don't know,Unknown,802,37689,0,2742953
2018,11,Total,robotics,Did not use,Did not use,8498,183714,0,16724107
2018,11,Total,robotics,"Tested, but did not use in production or service",Tested only,31,4342,0,608350
2018,11,Total,robotics,Low use,Used,172,13413,0,1613306
2018,11,Total,robotics,Moderate use,Used,65,4376,0,558719
2018,11,Total,robotics,High use,Used,71,2754,0,238849
2018,11,Total,robotics,Don't know,Unknown,736,30811,0,3063965
2018,11,Total,specialized equipment,Did not use,Did not use,7099,147306,0,13618911
2018,11,Total,specialized equipment,"Tested, but did not use in production or service",Tested only,16,485,0,40566
2018,11,Total,specialized equipment,Low use,Used,490,12752,0,1229115
2018,11,Total,specialized equipment,Moderate use,Used,748,14325,0,1468896
2018,11,Total,specialized equipment,High use,Used,261,14088,0,1360732
2018,11,Total,specialized equipment,Don't know,Unknown,957,50454,0,5089077
2018,11,Total,artificial intelligence,Did not use,Did not use,7671,168314,0,14403645
