state,naics_sector,produced,n_firms,n_emp
18,23,Yes,0,0
18,23,No,11313,94037
18,23,Don't know,535,6628
19,23,Yes,0,0
19,23,No,7452,57613
19,23,Don't know,122,2888
20,23,Yes,0,0
20,23,No,5909,50694
20,23,Don't know,0,0
21,23,Yes,0,0
21,23,No,5380,64474
21,23,Don't know,0,0
22,23,No,5087,84644
22,23,Yes,0,0
22,23,Don't know,376,5781
24,23,Yes,0,0
24,23,No,11557,127545
24,23,Don't know,452,6573
23,23,Yes,0,0
23,23,No,3819,17974
23,23,Don't know,0,0
25,23,Yes,0,0
25,23,No,16894,145871
25,23,Don't know,621,5168
26,23,Yes,0,0
26,23,No,17884,123260
26,23,Don't know,362,4612
27,23,Yes,0,0
27,23,No,15457,99034
27,23,Don't know,773,8224
28,23,Yes,0,0
28,23,No,3502,47937
28,23,Don't know,0,0
29,23,Yes,0,0
29,23,No,10356,99001
29,23,Don't know,178,3034
30,23,Yes,0,0
30,23,No,0,0
30,23,Don't know,0,0
31,23,Yes,0,0
31,23,No,6034,65712
31,23,Don't know,0,0
32,23,Yes,0,0
32,23,No,3621,49381
32,23,Don't know,216,4922
34,23,Yes,0,0
34,23,No,17325,114283
34,23,Don't know,519,8718
33,23,Yes,0,0
33,23,No,3537,31451
33,23,Don't know,0,0
36,23,Yes,0,0
36,23,No,33394,277370
36,23,Don't know,1751,18237
35,23,Yes,0,0
35,23,No,2956,32782
35,23,Don't know,0,0
37,23,Yes,0,0
37,23,No,21483,196511
37,23,Don't know,638,4833
38,23,Yes,0,0
38,23,No,1913,34335
38,23,Don't know,0,0
39,23,Yes,0,0
39,23,No,18044,188115
39,23,Don't know,607,5011
40,23,Yes,0,0
40,23,No,6887,62478
40,23,Don't know,0,0
41,23,Yes,0,0
41,23,No,11673,119581
41,23,Don't know,256,4085
42,23,Yes,0,0
42,23,No,22637,202594
42,23,Don't know,1366,9468
45,23,Yes,0,0
45,23,No,8380,66405
45,23,Don't know,225,1128
44,23,Don't know,0,0
44,23,Yes,0,0
44,23,No,2302,21396
46,23,Yes,0,0
46,23,No,2932,20140
46,23,Don't know,0,0
47,23,Yes,0,0
47,23,No,7684,117222
47,23,Don't know,352,4293
48,23,Yes,0,0
48,23,No,36798,519921
48,23,Don't know,1781,29112
49,23,Yes,0,0
49,23,No,8169,73141
49,23,Don't know,261,3060
50,23,Yes,0,0
50,23,No,0,0
50,23,Don't know,0,0
53,23,Yes,0,0
53,23,No,18591,169686
53,23,Don't know,864,7759
51,23,Yes,0,0
51,23,No,16233,136089
