state,naics2017,firms_using_artificial_intelligence,firms_using_cloud_based,firms_using_robotics,firms_using_specialized_equipment,firms_using_specialized_software,emp_using_artificial_intelligence,emp_using_cloud_based,emp_using_robotics,emp_using_specialized_equipment,emp_using_specialized_software
21,99,0,0,0,0,0,0,0,0,0,0
22,00,1653,13230,1212,10966,14847,179845,538087,178478,455284,481040
22,11,0,0,0,0,0,0,0,0,0,0
22,21,0,249,0,74,364,0,19377,0,6732,19223
22,22,0,0,0,0,0,0,0,0,0,0
22,23,0,680,0,312,985,0,23063,0,24367,24815
22,31-33,42,544,210,749,795,7611,54983,38062,51433,63743
22,42,98,881,170,521,682,3610,34373,4969,11043,24295
22,44-45,127,1630,22,772,2358,60866,128953,20511,82529,138835
22,48-49,54,379,33,354,545,9944,31991,5669,27971,34162
22,51,0,351,0,134,303,0,10833,0,7081,10127
22,52,147,1444,18,166,1726,6223,27286,1995,6665,25445
22,53,0,551,0,0,825,0,2110,0,0,6153
22,54,169,2812,155,963,3262,2316,26444,3683,11342,25787
22,55,22,96,18,16,207,982,6701,372,2696,15181
22,56,0,1120,0,316,991,0,38645,0,4251,42931
22,61,0,0,0,0,0,0,0,0,0,0
22,62,0,2646,0,1959,3055,0,72146,0,52177,76580
22,71,0,0,0,0,0,0,0,0,0,0
22,72,0,1076,0,732,1950,0,75260,0,22997,99594
22,81,0,337,0,513,0,0,4006,0,3622,0
22,99,0,0,0,0,0,0,0,0,0,0
23,00,783,7643,572,4643,8871,34427,172769,35857,108372,181614
23,11,0,0,0,0,0,0,0,0,0,0
23,21,0,0,0,0,0,0,0,0,0,0
23,22,0,0,0,0,0,0,0,0,0,0
23,23,0,0,0,0,0,0,0,0,0,0
23,31-33,0,374,67,384,398,0,14858,8943,17200,17357
23,42,18,372,108,250,367,520,6232,2810,6051,7362
23,44-45,19,927,74,984,1271,10544,27305,2874,24763,25150
23,48-49,0,85,0,0,138,0,2489,0,0,8515
23,51,0,137,0,48,177,0,2789,0,1624,4492
23,52,15,176,12,0,276,1608,10483,713,0,10782
23,53,0,183,0,0,400,0,1401,0,0,1842
23,54,245,1764,86,582,1718,2406,10448,1022,3655,10856
23,55,0,15,0,0,21,0,2871,0,0,874
23,56,0,146,0,0,127,0,4538,0,0,3009
23,61,0,0,0,0,0,0,0,0,0,0
23,62,0,481,0,371,606,0,12459,0,3581,10116
23,71,0,0,0,0,0,0,0,0,0,0
23,72,0,322,0,0,803,0,6682,0,0,22216
23,81,0,0,0,0,195,0,0,0,0,1327
23,99,0,0,0,0,0,0,0,0,0,0
24,00,2931,30975,1737,15282,35409,172143,927074,184762,496584,914885
24,11,0,0,0,0,0,0,0,0,0,0
24,21,0,0,0,0,0,0,0,0,0,0
24,22,0,0,0,0,0,0,0,0,0,0
24,23,0,2857,122,1838,2416,0,67785,5802,50459,47932
24,31-33,58,332,98,663,638,9325,17560,10474,29828,31285
24,42,149,1338,248,835,1402,5658,32859,7571,20749,34152
24,44-45,259,2013,24,750,2794,45964,129625,15459,60147,131167
24,48-49,67,512,0,395,670,15924,34863,0,13803,37139
24,51,56,772,22,297,711,14026,37054,463,24274,34914
24,52,127,1599,61,102,1781,13593,45982,15315,15386,40397
24,53,273,1582,0,56,1437,421,10464,0,710,9663
24,54,758,8433,400,2071,9408,37006,166467,31242,63137,164538
24,55,20,108,23,36,234,2368,10038,1603,3465,9273
24,56,0,2377,149,1102,2266,0,99506,2109,51410,89107
24,61,0,0,0,0,0,0,0,0,0,0
24,62,0,4325,211,3334,5057,0,86874,5800,43722,91123
24,71,0,314,0,0,448,0,9284,0,0,22007
24,72,0,2160,0,802,2653,0,94175,0,29544,94639
24,81,0,1269,0,1175,1971,0,17436,0,9064,21486
24,99,0,0,0,0,0,0,0,0,0,0
25,00,2924,36787,2273,17609,40374,261173,1062287,290444,616139,1089854
25,11,0,0,0,0,0,0,0,0,0,0
25,21,0,0,0,0,0,0,0,0,0,0
25,22,0,0,0,0,0,0,0,0,0,0
25,23,0,3477,230,1989,3684,0,46118,2997,15149,46732
25,31-33,109,1734,521,2212,2376,22122,94558,66208,105422,116273
25,42,135,1829,301,951,1944,10074,52597,20685,52134,63718
25,44-45,287,3561,67,1893,4192,46625,138627,25520,90362,139504
25,48-49,26,724,17,194,703,7592,36664,8962,21077,35009
25,51,136,1215,96,298,1144,29312,75561,10297,42485,73125
25,52,152,1851,47,251,2239,12614,72673,24518,19051,76560
25,53,0,1209,0,0,987,0,12881,0,0,10520
25,54,1176,9697,663,2326,9734,50162,171717,48691,87802,165936
25,55,31,101,34,162,157,4399,10038,15747,31618,36324
25,56,0,2305,0,1064,1991,0,92559,0,18316,77596
25,61,0,333,0,0,444,0,3791,0,0,4728
25,62,0,3689,0,2469,3948,0,122387,0,56204,92859
25,71,0,167,0,0,156,0,1987,0,0,1965
25,72,0,2099,0,961,2579,0,73007,0,24261,78389
25,81,0,1225,0,618,1762,0,13356,0,8432,22083
25,99,0,0,0,0,0,0,0,0,0,0
26,00,3703,42710,4202,28175,53635,380825,1716772,500017,1135541,1816736
26,11,0,0,0,0,0,0,0,0,0,0
26,21,0,0,0,0,0,0,0,0,0,0
26,22,0,0,0,0,0,0,0,0,0,0
26,23,0,3304,0,2628,3861,0,55098,0,49838,63192
26,31-33,489,2645,1825,4990,5288,109291,221630,209017,364838,362239
26,42,147,2654,473,1913,3012,11961,96430,25503,60731,104973
26,44-45,123,4717,250,1617,6192,60611,295642,28154,120849,282732
26,48-49,47,960,41,595,585,15153,58284,22904,41173,38463
26,51,118,1000,70,277,1034,8588,43812,1270,17371,37937
26,52,380,2672,34,431,3137,32100,97194,10591,15389,92691
26,53,0,2232,0,0,1768,0,21917,0,0,15880
26,54,585,7981,606,2729,8779,33411,132196,27938,58213,131541
26,55,36,265,80,66,227,12118,24263,19173,8360,25109
26,56,25,1579,106,836,3194,3531,124699,3336,66694,218625
26,61,0,0,0,0,0,0,0,0,0,0
26,62,0,5221,0,4653,7971,0,127656,0,69879,136664
26,71,0,238,0,0,174,0,516,0,0,1757
26,72,0,1861,0,1822,2790,0,90747,0,66733,120506
26,81,0,2621,0,2165,2179,0,48388,0,40861,32846
26,99,0,0,0,0,0,0,0,0,0,0
27,00,3413,36527,2384,20098,41603,286111,1127030,381328,719078,1174396
27,11,0,0,0,0,0,0,0,0,0,0
27,21,0,0,0,0,0,0,0,0,0,0
27,22,0,14,0,0,0,0,2554,0,0,0
27,23,0,3568,0,3205,3912,0,53891,0,42612,51919
27,31-33,300,2191,865,2693,2792,49841,160238,109486,176583,170063
27,42,132,2421,280,1167,2417,17965,86358,25666,52932,79946
27,44-45,251,3405,223,1822,3722,77666,186238,58445,141204,178561
27,48-49,43,1162,0,490,1131,9018,51427,0,35162,55208
27,51,185,843,89,412,897,10060,35475,5301,19771,32902
27,52,257,2479,139,380,2816,14515,52440,19942,5485,53498
27,53,0,1527,0,0,1575,0,17743,0,0,21004
27,54,921,8030,439,825,8150,18525,99635,14031,8838,96337
27,55,33,213,112,224,95,33842,51110,43505,53628,28395
27,56,93,1703,0,228,1917,4216,76948,0,12552,79929
27,61,0,352,0,0,0,0,2923,0,0,0
27,62,0,2557,0,1562,3480,0,80635,0,26679,105232
27,71,0,186,0,0,0,0,2768,0,0,0
27,72,0,1864,0,925,2880,0,79240,0,27946,106769
27,81,0,1959,0,2847,2023,0,21947,0,24602,18507
27,99,0,0,0,0,0,0,0,0,0,0
28,00,1160,9252,766,7005,11275,105449,339067,113204,262249,370116
28,11,0,0,0,0,0,0,0,0,0,0
28,21,0,0,0,0,0,0,0,0,0,0
28,22,0,0,0,0,0,0,0,0,0,0
28,23,0,178,0,0,261,0,2262,0,0,2786
28,31-33,119,325,119,497,503,25922,46568,35972,57853,62971
28,42,24,498,99,327,565,783,10447,1597,5806,12073
28,44-45,202,241,69,887,1517,40351,56016,10844,56586,74486
28,48-49,0,286,17,244,271,0,19486,6572,14780,19500
28,51,0,120,0,39,104,0,7555,0,3367,5108
28,52,14,775,12,89,800,4560,13258,2158,4572,13517
28,53,0,0,0,0,220,0,0,0,0,3393
28,54,235,1018,149,354,2197,1713,7157,1053,1322,20053
28,55,16,31,0,0,75,743,1036,0,0,1764
28,56,0,287,0,154,245,0,16743,0,2540,17878
28,61,0,0,0,0,0,0,0,0,0,0
28,62,0,1479,0,667,1957,0,27667,0,13706,42121
28,71,0,0,0,0,0,0,0,0,0,0
28,72,0,751,0,342,807,0,60243,0,34926,60668
28,81,0,0,0,311,681,0,0,0,2623,4184
28,99,0,0,0,0,0,0,0,0,0,0
29,00,2406,29795,2244,17132,37539,268666,1007071,340824,596478,1069095
29,11,0,0,0,0,0,0,0,0,0,0
