state,naics_sector,impact,n_firms,n_emp
30,00,Decreased STEM skills of workers employed by this business,0,0
30,00,Did not change STEM skills of workers employed by this business,432,14772
30,00,"Not applicable, did not employ workers with STEM skills",319,4198
30,00,Increased number of workers employed by this business,40,8464
30,00,Decreased number of workers employed by this business,0,0
30,00,Did not change number of workers employed by this business,915,20936
30,00,Increased skill level of workers employed by this business,331,10862
30,00,Decreased skill level of workers employed by this business,0,0
30,00,Did not change skill level of workers employed by this business,635,18966
31,00,Increased number of workers employed by this business,121,46418
31,00,Decreased number of workers employed by this business,57,8389
31,00,Did not change number of workers employed by this business,909,35524
31,00,Increased STEM skills of workers employed by this business,315,54078
31,00,Increased skill level of workers employed by this business,446,53509
31,00,Decreased skill level of workers employed by this business,0,0
31,00,Did not change skill level of workers employed by this business,605,36680
31,00,Decreased STEM skills of workers employed by this business,0,0
31,00,Did not change STEM skills of workers employed by this business,382,32905
31,00,"Not applicable, did not employ workers with STEM skills",390,3348
32,00,Did not change number of workers employed by this business,1030,48902
32,00,Increased number of workers employed by this business,286,36407
32,00,Decreased number of workers employed by this business,101,4426
32,00,Increased skill level of workers employed by this business,678,46636
32,00,Decreased skill level of workers employed by this business,0,0
32,00,Did not change skill level of workers employed by this business,736,43100
32,00,Increased STEM skills of workers employed by this business,647,62667
32,00,Decreased STEM skills of workers employed by this business,0,0
32,00,Did not change STEM skills of workers employed by this business,519,21919
32,00,"Not applicable, did not employ workers with STEM skills",251,5150
34,00,Increased number of workers employed by this business,910,96802
34,00,Decreased number of workers employed by this business,208,18618
34,00,Did not change number of workers employed by this business,3926,205143
34,00,Increased skill level of workers employed by this business,2189,182231
34,00,Decreased skill level of workers employed by this business,0,0
34,00,Did not change skill level of workers employed by this business,2742,135163
34,00,Increased STEM skills of workers employed by this business,1814,191358
34,00,Decreased STEM skills of workers employed by this business,0,0
34,00,Did not change STEM skills of workers employed by this business,1584,95871
34,00,"Not applicable, did not employ workers with STEM skills",1546,30471
33,00,Increased number of workers employed by this business,171,18267
33,00,Decreased number of workers employed by this business,17,1356
33,00,Did not change number of workers employed by this business,546,26116
33,00,Increased skill level of workers employed by this business,330,30335
33,00,Increased STEM skills of workers employed by this business,287,31960
33,00,Decreased skill level of workers employed by this business,0,0
33,00,Did not change skill level of workers employed by this business,405,15404
33,00,Decreased STEM skills of workers employed by this business,0,0
33,00,Did not change STEM skills of workers employed by this business,280,10202
33,00,"Not applicable, did not employ workers with STEM skills",0,0
36,00,Increased number of workers employed by this business,1359,162221
36,00,Decreased number of workers employed by this business,626,51198
36,00,Did not change number of workers employed by this business,7180,320681
36,00,Increased skill level of workers employed by this business,3663,278687
36,00,Decreased skill level of workers employed by this business,0,0
36,00,Did not change skill level of workers employed by this business,5364,246244
36,00,Increased STEM skills of workers employed by this business,2974,277862
36,00,Decreased STEM skills of workers employed by this business,0,0
36,00,Did not change STEM skills of workers employed by this business,3743,202679
36,00,"Not applicable, did not employ workers with STEM skills",2444,53455
35,00,Did not change number of workers employed by this business,606,19400
35,00,Increased number of workers employed by this business,152,27665
35,00,Decreased number of workers employed by this business,20,1972
35,00,Increased skill level of workers employed by this business,296,32648
35,00,Decreased skill level of workers employed by this business,0,0
35,00,Did not change skill level of workers employed by this business,478,16380
35,00,Increased STEM skills of workers employed by this business,241,32567
35,00,Decreased STEM skills of workers employed by this business,0,0
35,00,Did not change STEM skills of workers employed by this business,457,15048
35,00,"Not applicable, did not employ workers with STEM skills",79,1422
37,00,Increased number of workers employed by this business,621,137695
37,00,Decreased number of workers employed by this business,265,22587
37,00,Did not change number of workers employed by this business,3575,214505
37,00,Increased skill level of workers employed by this business,1797,203574
37,00,Decreased skill level of workers employed by this business,0,0
37,00,Did not change skill level of workers employed by this business,2610,164813
37,00,Increased STEM skills of workers employed by this business,1390,204740
37,00,Decreased STEM skills of workers employed by this business,0,0
37,00,Did not change STEM skills of workers employed by this business,1757,134821
37,00,"Not applicable, did not employ workers with STEM skills",1269,29171
38,00,Decreased number of workers employed by this business,0,0
38,00,Increased number of workers employed by this business,45,11779
38,00,Did not change number of workers employed by this business,291,13171
38,00,Increased skill level of workers employed by this business,82,15415
38,00,Decreased skill level of workers employed by this business,0,0
38,00,Did not change skill level of workers employed by this business,263,9986
38,00,Increased STEM skills of workers employed by this business,171,15293
38,00,Decreased STEM skills of workers employed by this business,0,0
38,00,Did not change STEM skills of workers employed by this business,89,9071
38,00,"Not applicable, did not employ workers with STEM skills",87,1046
39,00,Increased number of workers employed by this business,768,172168
39,00,Decreased number of workers employed by this business,278,24051
39,00,Did not change number of workers employed by this business,3951,279559
39,00,Increased skill level of workers employed by this business,2231,282964
39,00,Decreased skill level of workers employed by this business,0,0
39,00,Did not change skill level of workers employed by this business,2711,191879
39,00,Increased STEM skills of workers employed by this business,1675,285111
39,00,Decreased STEM skills of workers employed by this business,0,0
39,00,Did not change STEM skills of workers employed by this business,1880,161120
39,00,"Not applicable, did not employ workers with STEM skills",1383,28611
40,00,Increased number of workers employed by this business,247,63460
40,00,Decreased number of workers employed by this business,307,8746
40,00,Did not change number of workers employed by this business,1134,61396
40,00,Increased skill level of workers employed by this business,814,96624
40,00,Decreased STEM skills of workers employed by this business,0,0
40,00,Decreased skill level of workers employed by this business,0,0
40,00,Did not change skill level of workers employed by this business,872,36717
40,00,Increased STEM skills of workers employed by this business,723,97572
40,00,Did not change STEM skills of workers employed by this business,660,29869
40,00,"Not applicable, did not employ workers with STEM skills",304,5900
41,00,Increased number of workers employed by this business,557,62026
41,00,Decreased number of workers employed by this business,132,4389
41,00,Did not change number of workers employed by this business,1676,60895
41,00,Increased skill level of workers employed by this business,965,51071
41,00,Decreased skill level of workers employed by this business,0,0
41,00,Did not change STEM skills of workers employed by this business,988,66648
41,00,Did not change skill level of workers employed by this business,1394,76167
41,00,Increased STEM skills of workers employed by this business,603,50764
41,00,Decreased STEM skills of workers employed by this business,0,0
41,00,"Not applicable, did not employ workers with STEM skills",777,9873
42,00,Increased number of workers employed by this business,969,178467
42,00,Decreased number of workers employed by this business,383,28364
42,00,Did not change number of workers employed by this business,4059,215668
42,00,Increased skill level of workers employed by this business,2157,241986
42,00,Decreased skill level of workers employed by this business,233,2194
42,00,Did not change skill level of workers employed by this business,3021,178319
42,00,Increased STEM skills of workers employed by this business,2005,251843
42,00,Decreased STEM skills of workers employed by this business,0,0
42,00,Did not change STEM skills of workers employed by this business,2267,156400
42,00,"Not applicable, did not employ workers with STEM skills",1084,13943
45,00,Increased skill level of workers employed by this business,962,89949
45,00,Increased number of workers employed by this business,358,73814
45,00,Decreased number of workers employed by this business,117,4773
45,00,Did not change number of workers employed by this business,1727,85470
45,00,Decreased skill level of workers employed by this business,0,0
45,00,Did not change skill level of workers employed by this business,1236,73612
45,00,Increased STEM skills of workers employed by this business,451,90209
45,00,Decreased STEM skills of workers employed by this business,0,0
45,00,Did not change STEM skills of workers employed by this business,940,65867
45,00,"Not applicable, did not employ workers with STEM skills",808,7483
44,00,Increased number of workers employed by this business,25,5141
44,00,Decreased number of workers employed by this business,17,611
